Pound,Normal,Physical,35,40,100
Karate Chop,Fighting,Physical,25,50,100
Double Slap,Normal,Physical,10,15,85
Comet Punch,Normal,Physical,15,18,85
Mega Punch,Normal,Physical,20,80,85
Pay Day,Normal,Physical,20,40,100
Fire Punch,Fire,Physical,15,75,100
Ice Punch,Ice,Physical,15,75,100
Thunder Punch,Electric,Physical,15,75,100
Scratch,Normal,Physical,35,40,100
Vise Grip,Normal,Physical,30,55,100
Guillotine,Normal,Physical,5,251,30
Razor Wind,Normal,Special,10,80,100
Swords Dance,Normal,Status,20,251,251
Cut,Grass,Physical,25,60,100
Gust,Flying,Special,35,40,100
Wing Attack,Flying,Physical,35,60,100
Whirlwind,Normal,Status,20,251,251
Fly,Flying,Physical,15,100,100
Bind,Normal,Physical,20,15,85
Slam,Normal,Physical,20,80,75
Vine Whip,Grass,Physical,25,45,100
Stomp,Normal,Physical,20,65,100
Double Kick,Fighting,Physical,30,30,100
Mega Kick,Normal,Physical,5,120,75
Jump Kick,Fighting,Physical,10,100,95
Rolling Kick,Fighting,Physical,15,60,85
Sand Attack,Ground,Status,15,251,100
Headbutt,Normal,Physical,15,70,100
Horn Attack,Normal,Physical,25,65,100
Fury Attack,Normal,Physical,20,15,85
Drill Run,Ground,Physical,10,80,95
Tackle,Normal,Physical,35,40,100
Body Slam,Normal,Physical,15,85,100
Wrap,Normal,Physical,20,15,90
Take Down,Normal,Physical,20,90,85
Thrash,Normal,Physical,10,120,100
Double-Edge,Normal,Physical,15,120,100
Tail Whip,Normal,Status,30,251,100
Poison Sting,Poison,Physical,35,15,100
Twineedle,Bug,Physical,20,25,100
Pin Missile,Bug,Physical,20,25,95
Leer,Normal,Status,30,251,100
Bite,Dark,Physical,25,60,100
Growl,Normal,Status,40,251,100
Roar,Normal,Status,20,251,251
Sing,Normal,Status,15,251,55
Supersonic,Normal,Status,20,251,55
Sonic Boom,Normal,Special,20,251,90
Disable,Normal,Status,20,251,100
Acid,Poison,Special,30,40,100
Ember,Fire,Special,25,40,100
Flamethrower,Fire,Special,15,90,100
Mist,Ice,Status,30,251,251
Water Gun,Water,Special,25,40,100
Hydro Pump,Water,Special,5,110,80
Surf,Water,Special,15,90,100
Ice Beam,Ice,Special,10,90,100
Blizzard,Ice,Special,5,110,70
Psybeam,Psychic,Special,20,65,100
Bubble Beam,Water,Special,15,75,100
Aurora Beam,Ice,Special,15,75,100
Hyper Beam,Normal,Special,5,150,90
Peck,Flying,Physical,35,35,100
Drill Peck,Flying,Physical,20,80,100
Play Rough,Fairy,Physical,10,90,90
Low Kick,Fighting,Physical,20,251,100
Counter,Fighting,Physical,20,251,100
Seismic Toss,Fighting,Physical,20,251,100
Strength,Normal,Physical,15,100,100
Absorb,Grass,Special,25,20,100
Mega Drain,Grass,Special,15,40,100
Leech Seed,Grass,Status,10,251,90
Growth,Normal,Status,20,251,251
Razor Leaf,Grass,Physical,25,55,95
Solar Beam,Grass,Special,10,120,100
Poison Powder,Poison,Status,35,251,75
Stun Spore,Grass,Status,30,251,75
Sleep Powder,Grass,Status,15,251,75
Petal Dance,Grass,Special,10,120,100
String Shot,Bug,Status,40,251,95
Dragon Rage,Dragon,Special,10,251,100
Fire Spin,Fire,Special,15,35,85
Thunder Shock,Electric,Special,30,40,100
Thunderbolt,Electric,Special,15,90,100
Thunder Wave,Electric,Status,20,251,90
Thunder,Electric,Special,10,110,70
Rock Throw,Rock,Physical,15,50,90
Earthquake,Ground,Physical,10,100,100
Fissure,Ground,Physical,5,251,30
Dig,Ground,Physical,10,80,100
Toxic,Poison,Status,10,251,90
Confusion,Psychic,Special,25,50,100
Psychic,Psychic,Special,10,90,100
Hypnosis,Psychic,Status,20,251,60
Meditate,Psychic,Status,40,251,251
Agility,Psychic,Status,30,251,251
Quick Attack,Normal,Physical,30,40,100
Rage,Normal,Physical,20,20,100
Teleport,Psychic,Status,20,251,251
Night Shade,Ghost,Special,15,251,100
Mimic,Normal,Status,10,251,251
Screech,Normal,Status,40,251,85
Double Team,Normal,Status,15,251,251
Recover,Normal,Status,10,251,251
Harden,Normal,Status,30,251,251
Minimize,Normal,Status,10,251,251
Smokescreen,Normal,Status,20,251,100
Confuse Ray,Ghost,Status,10,251,100
Withdraw,Water,Status,40,251,251
Defense Curl,Normal,Status,40,251,251
Barrier,Psychic,Status,20,251,251
Light Screen,Psychic,Status,30,251,251
Haze,Ice,Status,30,251,251
Reflect,Psychic,Status,20,251,251
Focus Energy,Normal,Status,30,251,251
Bide,Normal,Physical,10,251,251
Metronome,Normal,Status,10,251,251
